resource_id,quality_level,price
45,2,15.4
45,3,15.5
45,4,15.5
45,5,15.5
45,6,17
46,0,32
46,1,31.75
46,2,32.5
46,3,34.75
46,4,36
46,5,37.75
46,6,38
47,0,540
47,1,540
47,2,540
47,3,545
47,4,550
47,5,550
47,6,555
47,8,600
48,0,242
48,1,246
48,2,252
48,3,258
48,4,258
48,5,258
48,6,268
48,8,288
48,9,380
49,0,1030
49,1,1040
49,2,1040
49,3,1040
49,4,1050
49,5,1060
50,0,338
50,1,338
50,2,340
50,3,340
50,4,340
50,5,348
50,6,350
50,7,350
50,9,420
51,0,765
51,1,765
51,2,765
51,3,770
51,4,775
51,5,775
51,6,785
52,0,660
52,1,660
52,2,665
52,3,665
52,4,660
52,5,745
52,6,670
52,7,750
52,9,785
52,11,800
53,0,3500
53,1,3500
53,2,3510
53,3,3510
53,4,3540
53,5,3540
53,6,3490
54,0,6800
54,1,6775
54,2,6850
54,3,6800
54,4,6850
54,5,6975
54,6,7250
54,7,7400
55,0,2330
55,1,2350
55,2,2350
55,3,2370
55,4,2390
55,5,2380
55,6,2440
56,0,4720
56,1,4700
56,2,4750
56,3,4760
56,4,4800
56,5,4900
56,6,6400
56,7,5500
56,8,9000
57,0,5900
57,1,5950
57,2,5950
57,3,5975
57,4,6075
57,5,6100
57,6,6200
58,0,236
59,0,148
60,0,8.2
60,1,8.3
60,2,8.4
60,3,8.7
60,4,8.4
60,5,9.1
60,6,9.9
60,7,10
61,0,22
61,1,24
61,2,24.5
61,3,24.75
61,4,24.75
61,5,27
61,6,30.25
61,8,37
62,0,30.75
62,1,30.75
62,2,30.5
62,3,31
62,4,31
62,5,31
62,6,33.25
62,7,500
63,0,41
63,1,41
63,2,41.25
63,3,41.5
63,4,41.75
63,5,46.5
64,0,52.5
64,1,54
64,2,55
64,3,58
64,4,58
64,5,59
64,6,60
65,0,16.4
65,1,16.4
65,2,16.7
65,3,16.5
65,4,17.2
65,5,19.2
65,6,17.5
65,7,19.5
65,8,24.75
66,0,0.296
66,1,0.3
66,2,0.303
66,3,0.308
66,4,0.328
66,5,0.355
66,6,0.635
66,7,0.65
66,8,0.75
66,10,0.665
67,0,13.4
67,1,13.7
67,2,13.9
67,3,14.5
67,4,23
67,10,450
67,11,555
68,0,32.5
68,1,35.5
68,2,35.75
68,3,37.25
68,4,39.5
68,5,39.5
68,9,37
69,0,6875
69,1,6975
69,2,6950
69,3,7000
69,4,7000
69,5,7575
69,6,8000
69,7,8800
69,8,8750
69,10,9250
69,11,13000
69,12,15600
70,0,815
70,1,815
70,2,820
70,3,820
70,4,915
70,5,900
70,6,1250
70,10,2900
71,0,1650
71,1,1650
71,2,1680
71,3,1690
71,4,1710
71,5,1740
71,7,2000
72,0,1.69
72,1,1.74
72,2,1.76
72,3,1.78
72,4,1.84
72,5,2.1
72,6,3.05
73,0,27.25
73,1,28.25
73,2,28.75
73,3,29
73,4,30.25
73,5,31.5
73,8,32.25
74,0,22.75
74,1,26.25
74,2,26.5
74,3,26.75
74,4,27
74,5,27
74,9,26.75
74,10,27.75
75,0,7.5
75,1,7.8
75,2,7.8
75,3,8.1
75,4,8.3
75,5,8.4
75,6,8.5
75,7,8.5
75,8,8
75,9,8.3
75,10,8.4
75,11,9
76,0,72.5
76,1,75
76,2,74
76,3,75.5
76,4,76
76,5,79.5
76,6,80
76,7,80
76,8,87
76,9,80
76,11,140
77,0,3120
77,1,3150
77,2,3370
77,3,3380
77,4,3450
77,5,3460
77,6,3550
77,7,3650
77,10,3910
78,0,2240
78,1,2460
78,2,2490
78,3,2500
78,4,2670
78,5,2680
78,6,2640
78,7,2700
78,8,2720
78,9,2850
79,0,910
79,1,945
79,2,950
79,3,955
79,4,965
79,5,1000
79,6,985
79,7,990
79,8,1050
79,9,1500
79,11,1900
80,0,5375
80,1,5375
80,2,5400
80,3,5425
80,4,5300
80,5,5450
80,6,5600
80,7,5800
81,0,5650
81,1,5700
81,2,5750
81,3,5850
81,4,5900
81,5,6025
81,6,6050
81,7,6150
81,8,6200
81,9,6900
82,0,1740
82,1,1770
82,2,1830
82,3,1850
82,4,1800
82,5,1880
82,6,1930
82,8,2100
83,0,37.25
83,1,37
83,2,39.25
83,3,39.75
83,4,41.5
83,5,41.75
83,8,41
83,9,45.25
83,11,47
84,0,10600
84,1,10800
84,2,11100
84,3,11300
84,4,11500
84,5,11600
84,6,12200
84,8,12900
85,0,8200
85,1,8700
85,2,8725
85,3,9350
85,4,10000
85,5,11300
85,6,13200
85,8,11800
86,0,10700
86,1,11700
86,2,11800
86,3,11900
86,4,12100
86,5,12700
86,6,12300
86,7,12800
86,10,16800
87,0,440
87,1,535
87,2,540
87,3,590
87,4,595
87,5,620
87,8,860
88,0,12100
88,1,12100
88,2,12500
88,3,12600
88,4,12700
88,5,12800
88,6,12900
88,8,13000
89,0,4770
89,1,4850
89,2,5075
89,3,5200
89,4,5600
89,5,5800
89,6,5775
89,7,5975
89,8,5800
98,0,945
98,1,950
98,2,945
98,3,955
98,4,975
98,5,1000
98,7,1120
100,0,328
101,0,222
101,1,222
101,2,222
101,3,224
101,4,224
101,5,224
102,0,2.95
102,1,2.9
102,2,3
102,3,3.05
102,4,3.2
102,5,3
102,6,4.2
102,8,7
102,9,9
102,10,12
103,0,7.6
103,1,7.8
103,2,8.1
103,3,7.7
103,4,8.5
103,5,9
103,6,9.5
103,7,10.5
103,8,11
103,9,10.9
104,0,0.875
104,1,0.895
104,2,0.89
104,3,0.9
104,4,1.35
105,0,1.78
105,1,1.8
105,2,1.98
105,3,2
105,4,1.9
106,0,4.65
106,1,4.6
106,2,4.8
106,3,4.85
106,4,4.85
106,5,5.2
107,0,21.5
107,1,21
107,2,22
107,3,21
107,4,21
108,0,10.8
108,1,10.9
108,2,11
108,3,11
108,4,10.9
108,5,11.3
108,6,20
108,10,21
109,0,124
109,1,123
109,2,123
109,3,124
109,4,125
109,5,125
109,6,126
110,0,212
110,1,212
110,2,208
110,3,212
110,4,212
110,5,214
111,0,2820
112,0,2300
112,1,2300
112,2,2300
112,3,2310
112,4,2290
113,0,312
114,0,140
114,1,990
114,2,985
114,3,995
114,4,1010
114,5,1040
114,6,1490
114,8,1500
115,0,146
115,1,151
115,2,152
115,3,152
115,4,162
115,5,195
116,0,42.75
116,1,45
116,2,46.75
116,3,47
117,0,6.8
117,1,7.4
117,2,7.5
117,3,9.5
117,4,10.2
117,5,11.8
117,6,11.8
117,7,13.2
117,8,16.5
117,10,21.5
117,11,17
118,0,0.875
118,1,0.985
118,2,0.99
118,3,1.15
118,4,1.23
118,5,1.25
118,7,1.3
118,8,1.58
118,9,1.9
119,0,35.5
119,1,34.75
119,2,35
119,3,41
119,4,42
119,5,44
119,6,46.5
119,7,48
119,8,48.5
119,9,54
119,10,63
119,11,72
119,12,75
120,0,2.9
120,1,2.95
120,2,3
120,3,3.1
120,4,3.6
120,5,3.65
120,6,4.6
120,7,4.85
120,8,5.6
120,9,5.9
120,11,7.5
121,0,148
121,1,159
121,2,176
121,3,206
121,4,232
121,5,232
121,6,234
121,7,234
121,9,258
121,10,284
121,12,290
122,0,127
122,1,126
122,2,129
122,3,134
122,4,142
122,5,147
122,6,153
122,7,154
122,8,157
122,9,160
122,10,165
122,11,169
122,12,198
123,0,334
123,1,334
123,2,332
123,3,334
123,4,336
123,5,350
123,6,364
123,7,442
123,9,500
123,10,530
124,0,37
124,1,37
124,2,37.75
124,3,38
124,4,40.5
124,5,46.5
124,6,50
124,7,53.5
124,8,55
124,9,59.5
124,10,61.5
124,11,72.5
124,12,80
125,0,26.5
125,1,28.5
125,2,28.5
125,3,38.25
125,4,40.5
125,5,41
125,6,45.5
125,7,48.5
125,8,50
125,9,54
125,10,65
125,12,90
126,0,52
126,1,52
126,2,52
126,3,52.5
126,4,53
126,5,61.5
126,6,64
126,7,68
126,8,73
126,9,80.5
126,11,87.5
126,12,87
127,0,476
127,1,478
127,2,478
127,3,482
127,4,488
128,0,43
128,1,60
128,2,64
128,3,74
128,4,76
128,5,81
129,0,2080
129,1,2100
129,2,2200
129,3,2400
129,4,2610
129,5,2730
129,6,2850
129,8,3000
129,10,3550
129,11,3760
130,0,2140
130,1,2160
130,2,2230
130,3,2450
130,4,2490
130,5,2690
130,6,2690
130,7,2700
130,8,3050
130,9,4000
130,10,3000
131,0,2430
131,1,2440
131,2,2530
131,3,2600
131,4,2990
131,5,3010
131,6,3060
131,7,3100
131,8,3370
131,9,3390
132,0,2240
132,1,2240
132,2,2230
132,3,2460
132,4,2770
132,5,2790
132,6,2970
132,7,3130
132,9,3300
132,10,3390
133,0,15
133,1,16.3
133,2,17
133,3,19.9
133,4,21.25
133,5,22.5
133,6,23.25
133,7,27.75
134,0,49
134,1,53.5
134,2,53.5
134,3,56
134,4,57
134,5,60
134,6,61.5
134,7,63
134,8,65.5
134,9,66
134,10,75
134,12,77
135,0,18.9
135,1,19.3
135,2,19.2
135,3,19.5
135,4,19.8
135,5,20.75
135,6,21.25
135,7,21
135,11,19
136,0,1.81
136,1,1.88
136,2,1.89
136,3,1.9
136,4,1.9
136,6,2.45
137,0,124
137,1,128
137,2,128
137,3,129
137,4,137
138,0,1220
138,1,1210
138,3,1400
138,4,1520
138,5,1560
138,6,1500
138,7,1600
139,0,11
139,1,11.4
139,2,11.5
139,3,12
139,4,11.9
139,5,12.5
139,6,13.9
139,7,17.5
139,10,24
140,0,256
140,1,258
140,2,264
140,3,268
140,4,260
140,5,340
140,12,370
141,0,32
141,1,38
141,2,44
141,3,44.5
141,4,54.5
141,5,56.5
141,6,56
141,7,61
141,8,70
141,9,74
142,0,695
142,1,705
142,2,720
142,3,835
142,4,835
142,5,840
142,6,860
142,7,910
142,8,960
142,10,1000
142,11,1060
142,12,1400
143,0,715
143,1,725
143,2,780
143,3,790
143,4,810
143,5,820
143,6,825
143,7,865
143,8,860
143,9,1050
143,10,1180
143,11,1300
143,12,2300
144,0,19.1
144,1,19.4
144,2,19
144,3,19.3
144,4,19.5
144,5,20.75
144,6,25
144,7,378
144,9,400
144,10,500
145,0,244
146,0,4
146,1,6
146,2,6.3
146,3,6.3
146,4,9.6
146,5,8
146,6,12.9
146,7,15
146,11,29
147,0,40
147,1,40
147,2,41.25
147,3,47.5
147,4,49.5
148,0,39.5
148,1,39
148,2,38
148,3,44
148,4,40
148,5,55
148,6,55
148,7,70
148,10,90
149,0,825
149,1,820
149,2,830
149,3,960
149,4,980
149,5,1100
149,6,1000
149,7,1470
