resource_id,quality_level,price
1,0,0.25
1,1,0.275
1,2,0.275
1,3,0.272
1,4,0.277
1,5,0.278
1,6,0.27
1,7,0.28
1,8,0.28
1,9,0.28
1,10,0.28
1,12,0.323
2,0,0.393
2,1,0.38
2,2,0.401
2,3,0.409
2,4,0.442
2,5,0.485
2,6,0.555
2,7,0.67
2,8,0.775
2,9,0.795
2,10,0.8
2,11,0.88
3,0,2.75
3,1,2.8
3,2,2.85
3,3,3.2
3,4,3.15
3,5,3.2
3,11,5.6
4,0,2.8
4,1,2.85
4,2,2.8
4,3,3
4,4,3.3
4,5,3.45
4,6,3.9
4,7,4.3
5,0,2.5
5,1,3.55
5,2,3.65
5,3,4.2
5,4,4.35
5,5,6.4
6,0,0.73
6,1,0.755
6,2,0.745
6,3,0.78
6,4,0.83
6,5,0.85
6,6,1.16
6,7,1.25
6,8,1.3
6,10,2
7,0,43
7,1,43.25
7,2,43.75
7,3,46
7,4,47
7,5,47.25
7,6,60
7,8,60
7,10,73
8,0,11.9
8,1,11.5
8,2,12.4
8,3,13
8,4,13.3
8,5,15
9,0,1.3
9,1,1.55
9,2,1.63
9,3,1.59
9,4,1.84
9,5,1.95
9,6,1.96
9,7,3.4
9,10,5.2
10,0,30
10,1,34
10,2,34.25
10,3,34
10,4,34.5
10,5,34.75
10,6,35.5
10,7,35
10,8,35.75
10,9,36.25
10,10,36.5
10,11,35.5
11,0,43.5
11,1,44
11,2,44
11,3,45
11,4,45.25
11,5,45
11,6,46.5
11,7,47
11,9,51
12,0,44.25
12,1,44
12,2,44.5
12,3,44.25
12,4,44.5
12,5,45
12,6,44.25
12,7,44.5
13,0,0.408
14,0,11.9
14,1,11.8
14,2,11.9
14,3,12
14,4,12
14,5,12
14,6,12.1
14,7,11.8
14,11,13.2
15,0,10.4
15,1,10.6
15,2,10.5
15,3,10.7
15,4,10.7
15,5,11.1
15,6,12.4
15,7,12.5
16,0,9
16,1,9.1
16,2,9.2
16,3,9.2
16,4,9.1
16,5,9.2
16,6,9.3
16,7,9.2
16,8,9.3
16,9,9.3
16,11,9.4
16,12,9.4
17,0,15
17,1,15.4
17,2,15.4
17,3,15.4
17,4,15.5
17,5,15.5
17,6,15.5
17,7,15.7
17,8,16
18,0,20
18,1,20
18,2,20.5
18,3,20.25
18,4,20.75
18,5,20.75
18,6,21.25
18,7,23
18,8,28
18,10,32
19,0,13.1
19,1,13.7
19,2,13.9
19,3,14.1
19,4,14.3
19,5,14.5
19,6,14.6
19,7,14.6
19,9,16.9
19,10,19.9
20,0,138
20,1,140
20,2,144
20,3,145
20,4,149
20,5,151
20,7,170
21,0,60
21,1,59
21,2,61.5
21,3,61.5
21,4,62
21,5,63
21,6,63
21,7,63.5
21,9,64
22,0,92.5
22,1,92
22,2,92
22,3,92.5
22,4,94
22,5,94
22,6,94.5
22,7,95.5
22,8,96
22,9,98
23,0,130
23,1,130
23,2,132
23,3,133
23,4,134
23,5,134
23,6,135
23,7,169
23,9,169
24,0,700
24,1,700
24,2,700
24,3,700
24,4,710
24,5,720
24,6,790
24,7,900
25,0,815
25,1,850
25,2,845
25,3,855
25,4,865
25,5,880
25,6,905
26,0,1310
26,1,1320
26,2,1330
26,3,1340
26,4,1340
26,5,1420
26,6,1480
26,8,2000
26,10,2300
27,0,605
27,1,600
27,2,615
27,3,615
27,4,640
27,5,650
28,0,1010
28,1,1010
28,2,1020
28,3,1050
28,4,990
28,5,1150
29,0,216
30,0,338
31,0,408
32,0,460
33,0,246
34,0,212
35,0,185
40,0,1.88
40,1,1.88
40,2,1.91
40,3,1.93
40,4,2.2
40,5,2.15
40,6,2.9
41,0,6.1
41,1,6.1
41,2,6.1
41,3,6.2
41,4,6.2
41,5,6.4
41,6,7
41,7,9.3
41,9,14
42,0,5.4
42,1,5.5
42,2,5.4
42,3,5.5
42,4,5.4
43,0,12.9
43,1,12.9
43,2,13.1
43,3,12.9
43,4,13
43,5,13.9
43,6,14
43,8,18.5
43,9,20
43,10,22
44,0,1.27
44,1,1.27
44,2,1.31
44,3,1.29
44,4,1.3
44,5,1.44
44,6,1.49
44,7,1.45
45,0,14.8
45,1,14.9
